run_date,run_start_timestamp,run_end_timestamp,status
22/05/2020,22/05/2020,22/05/2020,complete
14/06/2020,14/06/2020,14/06/2020,complete
15/06/2020,15/06/2020,15/06/2020,complete
16/06/2020,16/06/2020,16/06/2020,complete
17/06/2020,17/06/2020,17/06/2020,complete
